unit_id,name,nickname,star,quality,class,hp,atk,def,mgc,spd,crit,dodge,block,move,range_min,range_max,weapon,skill_signature,bonds,unlock,traits
lin_chong,林冲,豹子头,天雄星,orange,cavalry,700,108,70,45,88,12,8,5,6,1,2,丈八蛇矛,ult_fengxue,lu_zhishen|结义;cao_zheng|师徒,第4章通关解锁,
lu_zhishen,鲁智深,花和尚,天孤星,orange,vanguard,800,85,95,40,62,8,5,22,4,1,1,水磨禅杖,ult_chuiyangliu,lin_chong|结义;wu_song|二龙山,第2章通关解锁,
wu_song,武松,行者,天伤星,orange,infantry,640,112,62,40,84,18,10,5,5,1,1,雪花镔铁戒刀,ult_jiangmenshen,lu_zhishen|二龙山;sun_erniang|十字坡,第3章通关解锁,
gongsun_sheng,公孙胜,入云龙,天闲星,orange,strategist,520,52,42,118,72,10,8,0,4,2,3,松纹古定剑,ult_wulei,wu_yong|七星聚义,第5章通关解锁,
wu_yong,吴用,智多星,天机星,purple,strategist,540,55,45,115,74,8,8,0,4,2,3,两条铜链,ult_diaohulishan,gongsun_sheng|七星聚义;bai_sheng|智取生辰纲,第3章剧情加入,
hua_rong,花荣,小李广,天英星,purple,archer,540,112,48,55,78,20,10,0,4,3,5,天地日月弓,ult_baibu,qin_ming|清风寨,挑战关「清风寨」S评价,
li_kui,李逵,黑旋风,天杀星,purple,infantry,680,105,55,30,78,15,8,5,5,1,1,鬼王板斧,ult_heixuanfeng,bao_xu|绞肉机;jiao_ting|绞肉机,第4章剧情加入,
qin_ming,秦明,霹雳火,天猛星,purple,cavalry,690,102,68,35,86,12,6,8,6,1,1,狼牙棒,ult_pili,hua_rong|清风寨,挑战关「霹雳火」通关,
zhang_qing,张清,没羽箭,天捷星,purple,archer,520,106,46,50,80,15,10,0,4,2,4,飞石,ult_feishi,gong_wang|副将;ding_desun|副将,挑战关「东昌府」通关,
hu_sanniang,扈三娘,一丈青,地慧星,purple,cavalry,620,96,60,55,88,12,12,5,6,1,1,日月双刀,ult_taosuo,wang_ying|夫妻,第6章「三打祝家庄」通关,
dai_zong,戴宗,神行太保,天速星,blue,support,560,62,55,75,95,8,12,5,6,1,1,朴刀,act_shenxing,li_kui|江州旧识,聚义厅招募,
shi_qian,时迁,鼓上蚤,地贼星,blue,infantry,540,88,50,60,92,15,20,0,6,1,1,短刀,act_feiyan,xu_ning|盗甲,聚义厅招募,
sun_erniang,孙二娘,母夜叉,地壮星,blue,infantry,580,90,55,65,80,12,10,5,5,1,1,柳叶双刀,act_menghan,wu_song|十字坡;zhang_qing2|夫妻,聚义厅招募,
an_daoquan,安道全,神医,地灵星,blue,healer,560,45,48,108,72,5,8,0,4,2,2,银针,act_miaoshou,zhang_shun|背友上山,聚义厅招募,
cao_zheng,曹正,操刀鬼,地稽星,blue,infantry,590,92,58,45,78,14,8,5,5,1,1,剔骨尖刀,act_jieniu,lin_chong|师徒,聚义厅招募,
jiao_ting,焦挺,没面目,地恶星,blue,infantry,620,85,62,35,76,10,10,10,5,1,1,铁拳,act_xiangpu,li_kui|绞肉机,聚义厅招募,
bao_xu,鲍旭,丧门神,地暴星,blue,infantry,600,95,55,30,80,16,6,5,5,1,1,丧门剑,act_sangmen,li_kui|绞肉机,聚义厅招募,
yu_baosi,郁保四,险道神,地健星,blue,support,640,65,70,60,65,5,5,10,4,1,1,替天行道旗,act_qi,,聚义厅招募,
bai_sheng,白胜,白日鼠,地耗星,green,strategist,480,48,40,88,70,5,8,0,4,2,2,酒桶,act_yaojiu,wu_yong|智取生辰纲,第3章剧情加入,
tang_long,汤隆,金钱豹子,地孤星,green,support,560,70,60,55,68,8,6,8,4,1,2,钩镰枪,act_goulian,xu_ning|表兄弟,聚义厅招募,
shi_yong,石勇,石将军,地丑星,green,vanguard,700,68,80,30,58,5,5,20,4,1,1,熟铜棍,act_duming,song_jiang|赌友,初始武将,
song_wan,宋万,云里金刚,地魔星,green,vanguard,720,65,82,30,55,5,3,22,4,1,1,长柄大刀,act_tiebi,du_qian|开山元老,初始武将,
du_qian,杜迁,摸着天,地妖星,green,infantry,680,70,78,30,56,5,5,20,4,1,1,长枪,act_mozhetian,song_wan|开山元老,初始武将,
wang_dingliu,王定六,活闪婆,地劣星,green,infantry,520,72,50,40,90,10,18,0,6,1,1,短枪,act_huoshan,zhang_shun|同乡,聚义厅招募,

xu_ning,徐宁,金枪手,天佑星,purple,infantry,640,100,68,40,78,12,8,8,5,1,2,金枪,act_jinqiang,tang_long|表兄弟;shi_qian|盗甲,第4章剧情加入,
zhang_shun,张顺,浪里白条,天损星,blue,infantry,600,92,55,35,85,14,12,5,6,1,1,鱼肠剑,act_langli,an_daoquan|背友上山;wang_dingliu|同乡,聚义厅招募,water_walker
wang_ying,王英,矮脚虎,地微星,blue,infantry,610,95,58,30,82,15,10,5,5,1,1,双刀,act_aiguhu,hu_sanniang|夫妻,聚义厅招募,
gong_wang,龚旺,花项虎,地捷星,blue,archer,540,98,45,40,78,15,10,0,4,2,4,飞枪,act_feijiang,zhang_qing|副将,聚义厅招募,
ding_desun,丁得孙,中箭虎,地速星,blue,archer,540,96,46,40,80,15,10,0,4,2,4,飞叉,act_feicha,zhang_qing|副将,聚义厅招募,
yan_qing,燕青,浪子,天巧星,purple,archer,560,104,50,70,86,18,14,0,5,2,4,川弩,act_zhulian,lu_junyi|主仆,聚义厅招募,
